************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 05/25/2024 10:30:42
Simulation start date: 04/11/2024
Simulation end date: 05/24/2024
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: btk 2024 basil trial
************************************************************************
Year-DOY  Year  DOY  DOW      Date  ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig    Rain  Year  DOY  DOW      Date
2024-127  2024  127  Mon  05/06/24  1.657 0.633 0.633 0.291 1.111 0.279 1.000 0.721   5.306 1.000 0.477  0.791   0.000 1.111  1.840   4.107 -99.999 -99.999 0.051 0.526   2.162 0.123 0.555  0.920  0.129   0.000 -99.999   4.107   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  127  Mon  05/06/24
2024-128  2024  128  Tue  05/07/24  2.464 0.657 0.657 0.316 1.121 0.302 1.000 0.698   1.641 1.000 0.465  1.145   1.464 1.121  2.763   4.237 -99.999 -99.999 0.053 0.489   2.074 0.112 0.538  1.325  0.180   1.338 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   6.770   0.000  2024  128  Tue  05/07/24
2024-129  2024  129  Wed  05/08/24  1.524 0.680 0.680 0.342 1.126 0.328 1.000 0.672   2.651 1.000 0.446  0.679   0.000 1.126  1.715   4.368 -99.999 -99.999 0.055 0.531   2.321 1.000 1.126  1.715  1.036   0.000 -99.999   1.715   0.393 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  129  Wed  05/08/24
2024-130  2024  130  Thu  05/09/24  3.495 0.703 0.703 0.367 1.124 0.357 1.000 0.643   2.287 1.000 0.421  1.470   1.019 1.124  3.928   4.499 -99.999 -99.999 0.056 0.443   1.992 1.000 1.124  3.928  2.458   0.000 -99.999   1.973   0.439 -99.999 -99.999 -99.999 -99.999   3.670   0.000  2024  130  Thu  05/09/24
2024-131  2024  131  Fri  05/10/24  5.498 0.727 0.727 0.393 1.197 0.344 1.000 0.656   3.944 1.000 0.471  2.588   1.613 1.197  6.583   4.629 -99.999 -99.999 0.058 0.337   1.559 0.935 1.150  6.325  3.737   0.000 -99.999   4.399   0.950 -99.999 -99.999 -99.999 -99.999   3.900   0.000  2024  131  Fri  05/10/24
2024-132  2024  132  Sat  05/11/24  5.557 0.750 0.750 0.418 1.200 0.368 1.000 0.632   3.957 1.000 0.450  2.501   1.556 1.200  6.668   4.760 -99.999 -99.999 0.059 0.333   1.586 0.202 0.601  3.342  0.842   0.000 -99.999   2.241   0.471 -99.999 -99.999 -99.999 -99.999   5.500   0.000  2024  132  Sat  05/11/24
2024-133  2024  133  Sun  05/12/24  5.462 0.773 0.773 0.443 1.198 0.395 1.000 0.605   3.834 1.000 0.424  2.318   2.713 1.198  6.542   4.891 -99.999 -99.999 0.061 0.338   1.655 0.910 1.128  6.163  3.845   0.000 -99.999   1.734   0.355 -99.999 -99.999 -99.999 -99.999   6.670   0.000  2024  133  Sun  05/12/24
2024-134  2024  134  Mon  05/13/24  4.062 0.797 0.797 0.469 1.163 0.446 1.000 0.554   2.687 1.000 0.367  1.489   2.706 1.163  4.725   5.021 -99.999 -99.999 0.063 0.411   2.064 1.000 1.163  4.725  3.236   0.081 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   6.540   0.000  2024  134  Mon  05/13/24
2024-135  2024  135  Tue  05/14/24  5.780 0.820 0.820 0.494 1.197 0.450 1.000 0.550   3.960 1.000 0.377  2.179   2.043 1.197  6.918   5.152 -99.999 -99.999 0.064 0.323   1.666 1.000 1.197  6.918  4.739   0.000 -99.999   2.188   0.425 -99.999 -99.999 -99.999 -99.999   4.730   0.000  2024  135  Tue  05/14/24
2024-136  2024  136  Wed  05/15/24  2.486 0.843 0.843 0.520 1.148 0.517 1.000 0.483   1.569 1.000 0.305  0.757   2.960 1.148  2.854   5.283 -99.999 -99.999 0.066 0.486   2.567 1.000 1.148  2.854  2.096   1.878 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   6.920   0.000  2024  136  Wed  05/15/24
2024-137  2024  137  Thu  05/16/24  4.566 0.867 0.867 0.545 1.145 0.552 1.000 0.448   2.832 1.000 0.278  1.270   1.281 1.145  5.228   5.413 -99.999 -99.999 0.068 0.391   2.116 1.000 1.145  5.228  3.957   0.000 -99.999   2.378   0.439 -99.999 -99.999 -99.999 -99.999   2.850   0.000  2024  137  Thu  05/16/24
2024-138  2024  138  Fri  05/17/24  1.203 0.890 0.890 0.571 1.091 0.643 1.000 0.357   0.677 1.000 0.201  0.241   2.398 1.091  1.312   5.544 -99.999 -99.999 0.069 0.548   3.035 1.000 1.091  1.312  1.071   1.540 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   5.230   0.000  2024  138  Fri  05/17/24
2024-139  2024  139  Sat  05/18/24  4.033 0.913 0.913 0.596 1.190 0.571 1.000 0.429   2.604 1.000 0.277  1.117   0.633 1.190  4.800   5.675 -99.999 -99.999 0.071 0.408   2.315 1.000 1.190  4.800  3.684   0.000 -99.999   3.490   0.615 -99.999 -99.999 -99.999 -99.999   1.310   0.000  2024  139  Sat  05/18/24
2024-140  2024  140  Sun  05/19/24  4.025 0.937 0.937 0.622 1.138 0.659 1.000 0.341   2.372 1.000 0.201  0.809   2.196 1.138  4.578   5.805 -99.999 -99.999 0.073 0.417   2.420 0.826 0.974  3.921  3.113   0.000 -99.999   2.612   0.450 -99.999 -99.999 -99.999 -99.999   4.800   0.000  2024  140  Sun  05/19/24
2024-141  2024  141  Mon  05/20/24  5.482 0.960 0.960 0.647 1.167 0.659 1.000 0.341   3.333 1.000 0.207  1.136   2.208 1.167  6.398   5.936 -99.999 -99.999 0.074 0.344   2.042 0.930 1.100  6.028  4.892   0.000 -99.999   4.059   0.684 -99.999 -99.999 -99.999 -99.999   4.580   0.000  2024  141  Mon  05/20/24
2024-142  2024  142  Tue  05/21/24  1.312 0.983 0.983 0.673 1.111 0.768 1.000 0.232   0.720 1.000 0.127  0.167   3.067 1.111  1.457   6.067 -99.999 -99.999 0.076 0.542   3.286 0.851 0.964  1.266  1.099   1.075 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   6.400   0.000  2024  142  Tue  05/21/24
2024-143  2024  143  Wed  05/22/24  5.232 1.007 1.007 0.698 1.166 0.730 1.000 0.270   3.090 1.000 0.160  0.836   0.740 1.166  6.103   6.197 -99.999 -99.999 0.077 0.356   2.206 1.000 1.166  6.103  5.267   0.000 -99.999   4.643   0.749 -99.999 -99.999 -99.999 -99.999   1.460   0.000  2024  143  Wed  05/22/24
2024-144  2024  144  Thu  05/23/24  3.552 1.030 1.030 0.724 1.116 0.839 1.000 0.161   1.911 1.000 0.086  0.307   3.010 1.116  3.965   6.328 -99.999 -99.999 0.079 0.441   2.793 0.658 0.764  2.713  2.406   0.000 -99.999   1.255   0.198 -99.999 -99.999 -99.999 -99.999   6.100   0.000  2024  144  Thu  05/23/24
2024-145  2024  145  Fri  05/24/24  2.906 1.053 1.053 0.749 1.103 0.904 1.000 0.096   1.508 1.000 0.050  0.145   2.049 1.103  3.207   6.459 -99.999 -99.999 0.081 0.472   3.047 1.000 1.103  3.207  3.061   0.000 -99.999   0.502   0.078 -99.999 -99.999 -99.999 -99.999   3.960   0.000  2024  145  Fri  05/24/24
